Run#,f best
21,[1.49915e+06 1.45094e+06 1.27791e+06 1.03066e+06 1.03066e+06 976011 919092 610967 558886 558886 558886 558886 558886 486949 450724 399086 376243 297067 242610 240419 234894 225672 213737 211569 194067 180074 180074 169245 169245 152639 152639 143762 140134 129583 129583 112476 103080 103080 99992.9 94187 93322.3 84869.7 82952.1 80241.4 74188.9 74188.9 74188.9 66035.8 63998.5 61712 61712 58446.4 57657 57657 51140.4 51140.4 40490 40490 40490 40490 40490 36731.7 36731.7 36731.7 36698.6 35085.2 34286.9 34088.1 32711.7 31714.6 31714.6 29721.9 29721.9 27553.5 27167.3 24038.6 23948.7 23652.4 23312 21575.2 21376.4 17205.7 17205.7 17205.7 17205.7 17118.7 15897 14477.8 14472.9 12860.2 12379.4 10302.2 10103.4 8882.95 8882.95 8524.07 8524.07 8413.08 8413.08 8413.08 ]
22,[1.48094e+06 1.48094e+06 1.48094e+06 1.29284e+06 1.08713e+06 1.06439e+06 915765 807229 807002 787362 676382 560241 450470 450470 373546 373546 373546 330156 330156 328736 324311 320348 304758 285402 285402 274515 252333 230352 227216 220278 164656 164656 164656 156045 156045 154249 137646 128136 121856 121856 114968 108944 99070.5 91432.6 89695.5 78479.2 78479.2 75268.3 67043.3 60685.7 60357.2 58962.2 46945.2 43038.6 43038.6 43038.6 39630.4 39630.4 37848 34781 34781 34781 33777.1 31196 30600.4 30113.5 26137 26137 26137 26137 23849.8 23601.2 21155 18760.8 18760.8 18760.8 18760.8 17542.4 15378.2 12210.5 12210.5 12210.5 11338 11242.2 8415.78 7920.05 7920.05 6009.37 5597.26 5597.26 5597.26 5328.38 4427.94 2020.28 2020.28 2020.28 2020.28 1982.55 1982.55 1154.45 ]
23,[1.39418e+06 1.39418e+06 1.29181e+06 1.2247e+06 1.13006e+06 1.09019e+06 915274 902386 801946 712051 676609 663174 580854 514276 514276 383337 383337 307816 297457 297457 270048 253945 253945 253945 244958 224513 206889 199237 190896 184973 173129 153241 153241 140302 140302 130970 122576 113743 112122 86936.5 86936.5 86936.5 86936.5 76008.9 72002.8 72002.8 72002.8 72002.8 69308.8 66937.7 65765.4 65765.4 61651.2 61355.2 51504.9 49677.8 44612.6 44612.6 44612.6 36611.8 36611.8 30087.1 27177.7 20720.7 20720.7 20720.7 18565 14086.3 14086.3 11207.6 9432.97 7946.07 5167.87 4479.84 3414.3 -1389.62 -1651.2 -1651.2 -2023.72 -4902.99 -7760.47 -8906.6 -9115.41 -12081.5 -12884.8 -14516 -14516 -15605.8 -16364.2 -16619.2 -17879.8 -19977.1 -21020 -21622.6 -22206.4 -22206.4 -22873.8 -22873.8 -23227.9 -23227.9 ]
24,[1.50354e+06 1.50354e+06 1.37618e+06 900895 900895 900895 859041 761295 681778 624992 588331 588331 508648 508648 498749 441011 406808 388044 363386 363386 330480 271492 271492 258243 257955 210654 210654 210654 210654 208730 186294 182640 172748 172198 160127 152951 141762 138219 138219 132964 132964 130053 120104 120104 113272 107148 98933 98933 96202.9 96202.9 93699.2 90707.6 83591.9 83591.9 80211.8 80211.8 80211.8 76923.9 74880.1 73828.1 72190.8 71193.1 70926.5 65044 59466.6 59466.6 59362 58393.3 56464 52892.7 52892.7 51767.4 49688.7 49688.7 47899.8 46865.3 44818.5 41508.9 41289.8 38284 38284 37935.9 37935.9 35968.1 35968.1 35968.1 35936.4 35636 34735.5 34553 34553 34029 33262.5 33262.5 32245.4 32245.4 32156.3 32156.3 31905.1 30772.9 ]
25,[1.5685e+06 1.49728e+06 1.49728e+06 1.25192e+06 1.00031e+06 1.00031e+06 986885 884413 837635 564089 521088 504447 504447 460487 406302 406302 396405 391152 375641 345866 345866 345866 333540 318618 294569 237428 237428 237428 237428 237428 231208 231208 220712 220712 202233 202233 189964 186171 172021 172021 169406 167203 162944 158247 157848 154727 153611 150018 149665 145236 142749 140268 140268 139677 136726 132780 132780 131126 127882 127490 127490 125583 124444 123005 119961 116438 116438 116438 116438 114167 114167 114167 110017 108789 105019 105019 105019 105019 105019 103328 102459 101415 99138.8 99138.8 99138.8 99138.8 99138.8 98449.1 96345.7 96222.1 96222.1 91577.3 91577.3 91577.3 91033.2 91033.2 90641.4 90641.4 88323.8 88116.5 ]
26,[1.28397e+06 1.22718e+06 1.22718e+06 1.22718e+06 1.14528e+06 1.08403e+06 1.02443e+06 987699 926202 860075 766734 700566 700566 630563 541439 541439 488926 417972 378527 378527 356683 313759 313759 295268 288248 276523 255951 220468 220468 193871 181890 156830 156830 123724 123724 123724 123724 123724 113057 112984 112984 106950 89599.7 89599.7 89599.7 89599.7 88151.1 76607 73491.8 72249.5 68695.3 60980.6 60763.5 54848 54848 51298.2 51298.2 45621.9 43286.2 40523.9 40016.7 37724.5 35440 33219.9 32457.6 31302.4 29105.4 27560.9 25308.9 25074.1 21852.6 18165.1 18165.1 12472.4 12472.4 12435.3 10716.1 10254.3 7628.6 7628.6 7278.37 7046.75 5631.4 5631.4 5631.4 4399.82 4230.65 2095.21 2095.21 2095.21 2095.21 1967.54 -880.985 -880.985 -880.985 -880.985 -1028.32 -1028.32 -2897.84 -4768.11 ]
27,[1.61459e+06 1.61459e+06 1.493e+06 1.40527e+06 1.30737e+06 1.15514e+06 1.06788e+06 1.06732e+06 751734 751734 699932 554598 554598 554598 554598 450376 419831 350338 318011 309593 283008 270191 265019 258134 239640 213622 213622 187825 149478 149478 135885 128639 128639 116067 116067 108794 108794 108794 107940 102362 98396.2 95946.8 94785.8 91086.3 81966.9 81966.9 81966.9 74345.5 71989.3 71989.3 68775.1 63509.4 60038.3 57810.6 56832.4 56199.4 53170.2 53170.2 52267.1 50395 50395 49218.6 49083.9 44819.1 44103.5 40438.3 38477.1 38477.1 37603 35863.8 29823.1 29823.1 29823.1 27530.6 27530.6 26188.4 25947.4 24676.3 24676.3 24398.7 23416.2 22189.4 22022.7 21811.7 20261.8 18900.5 18900.5 18430.6 17709.1 17086.8 15579 15579 13856.7 13856.7 11275 11275 11275 11023.4 10429.2 8673.13 ]
28,[1.32735e+06 1.2583e+06 1.2583e+06 1.2583e+06 1.2583e+06 1.00259e+06 1.00259e+06 826442 719580 719580 719580 508289 508289 508289 404102 404102 401514 267250 267250 267250 228291 228291 228291 220844 185083 166377 166377 154271 137552 137552 126325 126325 126292 123689 117818 111164 111164 102532 102532 102532 95675 92607 91913.5 88388.3 75564.2 75564.2 75564.2 75564.2 74305.4 73081.7 69995.9 62601.4 61297.1 61297.1 58141.5 54660.6 50480.2 50480.2 45656 45656 42869 42869 42869 36951 36626.5 35009.7 32123.3 32123.3 32123.3 31928.1 30709.6 27048.7 27048.7 26603.7 25395.9 23302.3 21224 21063.6 16491 16491 16491 15569.7 13816.5 13816.5 13161.3 8914.51 8914.51 8914.51 8914.51 8914.51 8914.51 8023.82 7945.57 7643.19 5654.26 5654.26 4521.99 4357.96 3878.16 2294.97 ]
29,[1.48676e+06 1.48676e+06 1.42595e+06 1.42595e+06 1.1644e+06 1.06965e+06 1.06965e+06 992919 835811 761026 644516 644259 627475 610662 510877 407092 407092 407092 405913 359213 336563 292398 244344 244344 244344 238514 204674 195877 192051 162267 162267 161971 152805 124620 124620 124620 120585 120585 120585 115907 112376 108732 106602 101047 96116.2 96116.2 92813.1 91413.7 90279.3 82176.4 81621.4 79456.5 79456.5 75422.1 74749.8 69610.3 60526.4 60526.4 60526.4 60526.4 58096.7 58096.7 58096.7 55666.1 49270.4 49270.4 49270.4 48573.1 41829.9 39409.5 39409.5 33440.4 33377.9 32260.3 32260.3 27856.1 27856.1 27856.1 24199.9 24147 24147 21419.3 20301.7 20301.7 20124.5 16898.5 14936.7 13732.2 11586.6 9164.47 9164.47 9164.47 8251.73 8251.73 7262.71 4255.91 4255.91 3593.29 2584.89 2416.08 ]
30,[1.73006e+06 1.66292e+06 1.42514e+06 1.20637e+06 1.01338e+06 1.01338e+06 1.00631e+06 786567 701080 701080 701080 616729 594123 504425 427174 427174 427174 398240 382371 353086 331951 273686 273686 273686 212380 202257 198487 185368 182158 151629 151629 138375 124583 118622 104619 96328.8 96328.8 89010.2 70399.1 70182.4 55887.5 55887.5 41060.9 41060.9 38616.1 29476.8 25584 23104.3 18788.3 11896.3 1825.98 1825.98 1825.98 -5210.25 -6245.1 -9727.59 -9727.59 -9727.59 -10268.2 -15223.9 -15223.9 -17724.9 -17784.3 -19828.3 -21813.5 -21813.5 -24463.2 -26753.2 -26753.2 -26888.9 -30456.8 -30456.8 -30456.8 -32322.9 -32322.9 -32322.9 -34223.7 -34223.7 -36287.7 -36365.3 -36365.3 -38030.9 -38030.9 -38030.9 -38409.5 -38409.5 -39991.3 -40033.3 -40279 -41632.9 -41632.9 -41632.9 -41993.7 -41993.7 -41993.7 -43302.2 -43302.2 -43302.2 -43302.2 -44826.3 ]
