Run#,Result,Solution
35,1910.09,[-439.075 -420.115 302.272 -441.604 -447.46 124.069 -438.544 -425.68 -438.097 292.2 303.577 -443.238 -426.132 -421.352 -420.896 -479.858 -426.416 -447.46 -428.599 286.18 290.376 -421.558 290.076 -421.558 -419.355 -420.538 -421.1 -433.105 -423.906 -421.023 ]
36,1480.62,[-420.488 -421.936 302.682 302.269 -443.889 -419.885 -420.362 -428.453 -420.282 -425.515 300.742 303.202 295.44 -424.137 -445.586 -433.773 302.825 -424.817 -440.005 -432.662 -425.269 -428.554 509.334 291.021 -419.765 301.125 -439.078 -437.876 -440.068 -421.734 ]
37,757.209,[-424.686 301.578 -421.455 -433.125 -422.511 -420.727 -436.233 -430.992 -422.369 -419.799 -425.829 -429.279 -437.059 -420.601 302.641 -424.542 -427.897 -451.883 -441.413 299.9 -443.342 -423.167 -421.084 -441.4 -419.427 -420.668 -420.805 -425.412 -420.884 -421.396 ]
38,588.694,[303.617 -424.627 -420.942 -424.414 -420.871 -422.275 -424.318 -447.088 -425.545 -421.849 -419.806 -422.131 303.411 301.195 -424.104 -436.64 -423.035 -424.487 -420.72 -427.151 -421.739 -421.285 -434.212 -421.812 -420.355 -422.62 -441.326 -424.326 -435.413 -420.156 ]
39,1549.91,[-421.504 -422.265 -422.736 -425.619 -423.66 -444.316 -420.411 -419.489 -435.122 297.707 124.57 -428.819 -420.717 -423.402 -436.93 282.005 -419.447 -430.886 -431.141 -422.033 -430.432 283.605 -443.348 -421.373 123.343 -421.518 298.562 -419.832 292.176 -431.761 ]
40,1521.01,[-419.95 -452.706 121.669 -438.781 -436.891 301.464 -436.105 -421.217 -429.41 -422.891 -425.006 -422.669 -421.107 -423.65 288.601 302.789 299.964 302.919 -440.868 -420.931 -427.374 -421.091 -420.636 -445.493 -429.177 302.082 -420.556 -421.268 -451.671 -421.219 ]
41,2129.59,[103.711 -421.285 294.714 -455.586 289.545 -422.769 -444.145 -458.475 302.766 305.71 301.733 -424.254 -419.264 292.688 302.193 -421.412 -445.04 -421.474 -434.371 510.828 -435.646 -429.168 296.421 -444.438 -422.156 -441.846 -433.174 -421.878 -429.309 -421.534 ]
42,1994.7,[-425.312 -422.246 -420.105 275.372 -419.051 -425.247 -464.358 -422.87 302.673 -427.133 277.913 -420.825 -420.463 -421.078 -425.581 -427.141 -424.017 -456.755 -420.509 -422.137 -444.744 300.355 296.335 286.533 -456.84 -422.842 -426.349 302.865 122.215 -440.931 ]
43,1901.11,[-421.687 -438.929 -425.535 -420.378 -420.023 277.84 -430.552 289.358 301.683 278.276 301.394 302.488 292.807 -429.807 -422.643 -431.808 -438.119 -453.575 301.784 -426.261 -439.684 -438.4 -422.148 -433.998 -446.616 300.935 -440.167 -421.21 280.764 -425.582 ]
44,1704.76,[303.738 282.551 285.543 302.368 -427.193 -455.013 -422.033 -424.073 -429.316 301.909 -431.247 -422.749 -419.824 -422.566 -422.992 -421.927 275.267 -440.139 303.137 292.287 -440.24 -421.566 -423.37 -421.36 -419.955 -428.734 266.594 -437.779 -424.816 -421.56 ]
45,1300.95,[-421.764 298.684 -426.729 301.159 -451.178 -424.729 -421.882 -424.145 -426.745 -425.464 -424.453 302.396 299.441 -427.431 -446.556 -421.246 300.194 -426.679 -435.868 300.537 -428.051 -434.721 -425.399 290.072 -420.05 -419.995 -421.232 285.956 -432.895 -420.531 ]
46,1443.3,[-421.738 -455.904 -420.924 301.868 -419.411 -426.538 -420.464 303.088 -419.065 -421.101 -434.567 301.98 -423.903 -435.163 -461.689 -420.969 -459.152 -422.066 -424.769 -424.512 294.715 301.04 -420.683 301.734 -428.456 -422.392 -423.042 -421.833 -448.496 -440.739 ]
47,1083.87,[-428.104 300.364 -435.995 -421.672 -428.1 -420.975 -421.895 299.906 -421.804 -432.912 -422.993 -422.524 302.219 -422.59 -423.027 -421.452 -422.871 -430.692 -405.075 -425.997 300.701 -421.644 -423.683 -429.551 -429.713 292.616 -434.605 -451.617 -445.276 289.769 ]
48,1676.16,[-467.181 -429.12 -423.943 297.633 291.387 -421.373 -432.864 -427.282 301.187 -442.57 291.272 -424.492 -417.679 297.289 -420.705 294.599 -432.016 -419.799 -421.932 -455.134 -419.306 -421.081 -422.288 -421.176 -425.852 268.969 -439.72 -422.594 294.4 -423.532 ]
49,1959.51,[-420.351 -420.691 303.184 -421.161 -453.446 -422.796 -450.947 -459.274 -426.739 293.696 301.494 302.743 -426.613 -425.412 -441.351 298.777 -454.169 -420.825 -439.513 505.503 -450.587 -424.327 -421.141 292.474 -421.008 -412.144 296.26 -420.815 286.582 -423.724 ]
50,1556.61,[-436.418 506.474 -435.021 -421.188 -420.717 -444.849 -425.502 -423.758 300.644 -456.852 -421.675 -420.614 -421.301 -441.93 -438.61 301.286 -421.325 -421.986 -421.084 -445.751 -421.39 303.614 505.382 -423.681 302.8 -447.151 -420.338 -421.307 -445.318 301.61 ]
