Run#,Result,Solution
28,-12722.5,[-1.00522 -1.04177 -3.95039 0.0147724 -1.11835 -7.08112 -2.9604 -0.977008 -0.999893 -2.12216 0.0497578 -2.97015 -4.03621 -0.992974 -0.0569473 -0.0528922 -1.02002 -1.0337 -3.99431 0.0892451 -0.0565659 -1.07281 0.0165729 -0.045889 -0.940112 -3.10238 -3.03188 -0.0454477 -8.91524 -21.6154 ]
29,47666.9,[-1.00017 -2.96794 -2.08393 -6.98784 -2.03809 -1.94452 -6.15009 0.0353772 -4.07656 -5.01245 -7.93462 -5.05519 -0.977012 -0.915102 -0.981819 -0.9996 -1.91261 0.0151806 -1.02523 -8.03453 -0.0381336 -3.10582 -8.93823 -5.05802 -0.0514619 -1.00682 0.0304696 -0.990492 -1.07777 -28.1574 ]
30,-5030.13,[-1.00309 -1.05827 -0.0265906 -3.98505 -0.973634 -0.0266666 -6.97886 -3.17578 -0.0627337 -1.00072 -6.93206 -3.98863 0.0479795 -0.942838 -1.91415 -1.98145 -5.12525 -4.01059 -1.98739 -1.1205 -1.11355 -1.05245 -2.99492 -0.992452 -0.942913 -2.01593 -3.10627 -3.00603 -3.96008 -30 ]
31,-36080.6,[0.0379156 -0.0406611 -3.03126 -1.00467 -2.99425 -0.99136 -4.07781 -1.97992 -2.00912 -1.00919 -2.13769 -0.0732534 -3.95921 -4.13904 -1.03205 -0.995545 -0.0113676 -1.00675 -0.0157348 -4.16342 0.0252393 -0.00890211 -3.0008 -1.14734 -2.98265 0.000284545 -0.0305786 -1.02746 -5.03986 -26.4423 ]
32,22895.4,[-1.03176 -1.02966 0.0153052 -1.00257 -7.8995 -0.999725 -0.0170326 -1.94834 -0.983061 -2.03071 -0.988673 -1.95767 -1.0394 -10.9408 -1.11468 0.00429362 -3.00052 0.00148064 -1.98687 -3.04549 -4.15211 -4.04534 -0.0737875 -2.07429 -6.20823 -4.97328 -3.92893 -0.982449 -1.04243 6.0657 ]
33,72305.4,[-8.96255 -1.95654 0.0114386 -4.89214 -0.995033 -8.00583 0.0367478 -0.0344117 -2.06018 -2.08624 -2.07316 -2.94346 -1.03622 -8.98007 -0.0384316 -4.96476 -2.94636 -2.95764 -3.96864 -0.978331 0.0560966 -0.0144344 -5.11097 -7.00038 -0.992965 -4.93376 -0.0470623 -8.27822 -1.04445 -19.8834 ]
34,-11145.5,[-0.0485058 -1.05393 -1.97539 0.975005 0.98748 -11.0601 -1.0147 -3.12781 -1.02117 -2.05173 -1.95904 -0.951601 -0.999999 -2.0568 -0.997299 -3.00554 -1.04998 -1.05924 -2.09508 -3.11941 -5.01232 -0.975387 -3.00723 -1.02752 -0.961209 -4.06168 0.0238485 -1.00769 -1.07857 -30 ]
35,6646.31,[-3.18563 0.102657 -0.981681 -2.05826 -2.0008 0.0500031 -1.0578 -1.05848 0.077585 -0.990707 -2.96545 -1.95099 -0.998507 -6.97825 0.038296 -2.95865 -1.9893 -2.03941 -11.903 0.0250487 -0.935579 -1.04175 -2.10688 0.0420311 -0.956727 -4.12787 -0.0774307 -4.03503 -1.96427 -22.0214 ]
36,-36647.3,[-0.00325488 -0.969825 -4.01006 -1.04133 -1.96844 -1.09292 -4.98635 -0.0373728 0.0161896 -3.0659 -3.14632 -0.0182989 -1.09127 0.0389341 -2.01305 -1.07185 -0.0403713 -1.07869 -3.9686 -3.02191 -2.04295 -0.0114005 -5.93188 0.0155477 -1.02939 -0.0689354 -2.06441 -1.98803 -1.11671 -8.885 ]
37,-52515.4,[-0.933435 -0.013102 -2.0118 -1.97016 -3.02865 -0.0363884 -1.02526 -1.9926 -0.058866 -1.00999 -1.07173 -1.10474 -5.99614 -1.02281 -0.00140101 -2.93001 -1.05947 -0.0572469 -0.96981 -5.04575 -1.00066 -0.9865 -0.00658017 1.00206 -1.07209 -1.00489 -0.033452 0.0558272 0.00375134 -6.38786 ]
38,-26911.2,[-0.00052312 -0.0285404 -3.98761 -0.0490265 -7.09986 -0.00409912 -1.97432 -0.00659809 -0.975396 0.00892556 -5.22711 -5.01251 0.0356522 -1.01232 -1.95801 -4.01544 -0.988907 -0.0435607 0.0435042 -1.02319 -3.03642 -0.069 -0.0116194 -2.97219 -0.0485639 -1.09142 -0.947546 -2.02581 -3.11769 -29.5472 ]
39,-8208.27,[-5.11174 -7.9645 -1.06909 -1.02562 -5.00287 -3.10009 -0.0183926 -1.94701 -1.03544 -0.935405 -2.99264 -1.99032 -1.97331 0.0272012 -1.03091 -4.0654 -4.1509 -1.94129 -1.01578 -0.0619331 -0.953611 -7.07247 -0.0317463 -1.05105 -0.0239922 -1.97645 0.0110509 -0.997134 -0.0504837 0.895133 ]
40,-1849.21,[-1.01835 -0.995435 -3.96622 -3.94852 0.00852838 -11.9445 -1.94324 -0.991894 -0.0450511 -5.03989 -1.00608 -0.972646 -3.98367 -2.94896 0.0519135 -2.92103 -0.00327646 -0.00658232 -2.09408 -0.0298827 -3.17421 -0.0518379 -2.0426 -2.0373 -0.0337498 -1.00995 -1.07677 -1.03861 -1.02572 -15.4961 ]
