Run#,Result,Solution
27,132.21,[-0.00269961 -0.224778 -0.332928 -0.741135 -0.933923 -2.63795 0.138629 -1.14046 -0.0679533 -0.719356 0.0301641 0.0272247 -0.73972 -0.908429 -0.802617 -0.841559 -2.08658 0.0744007 -5.79667 -2.84669 0.143301 -0.72012 0.0395472 -0.724806 0.0764258 -0.1635 -0.890157 -0.771032 -0.677807 -0.892431 ]
28,149.454,[-0.0168319 0.0265173 -0.79831 -2.76359 -2.37914 0.0678572 -2.937 -1.05192 0.0594653 -3.74863 -3.99504 -0.936817 0.0954208 -0.267442 -1.4154 0.067688 -0.792425 -0.0167617 -0.186669 -0.00769424 -3.73749 -0.788825 -1.40659 -0.496144 -0.288126 -0.0122056 -0.768185 -0.0580226 0.0678512 0.236195 ]
29,145.924,[-2.09516 -4.20323 -0.837948 0.149079 -1.88967 0.095562 0.138425 -0.186085 -0.946676 0.0493051 0.0174566 0.0248227 0.148007 -2.17227 -1.68607 -0.122992 -1.02365 0.183103 -0.235119 -0.0239697 -0.709011 -0.76661 -0.864474 -2.84023 -0.86053 -0.866949 -1.15017 -0.0572839 -4.85011 -6.67891 ]
30,183.306,[-1.95305 -1.6883 0.06593 -0.050876 0.0271533 -0.913311 -1.76838 -3.10934 -0.874321 -0.830054 -4.71849 -1.07348 -0.0401864 0.0052641 -0.0399101 -6.96159 0.0836839 -1.70246 -0.997966 0.135322 -3.93693 -1.93183 -0.870529 0.0801418 -1.73791 -2.84598 -0.717258 0.0138315 0.0159612 -9.73534 ]
31,142.757,[-1.09967 -0.757211 -0.805428 -0.756324 -0.823905 -2.92442 -1.78529 -2.00358 -0.895621 -0.996607 -0.823489 -4.80235 -1.87981 -4.88981 0.194718 -0.036912 0.0470603 -0.108673 0.107598 0.125065 -0.900595 -0.779581 0.0602177 0.0465705 -0.115892 0.0761477 -0.142239 -1.03006 -3.72553 0.235357 ]
32,129.871,[-0.0331888 0.0766016 0.104093 -0.98175 -0.973357 -1.00793 0.0865268 -0.82439 -0.906248 -1.15015 -15.9917 -1.78523 -0.217999 0.165349 -0.382399 0.0665562 -0.00388855 -0.236254 0.103502 -2.76449 0.162049 -1.22626 0.126259 -0.0216284 -0.843401 0.0654845 0.0838547 -0.722809 -0.901079 -0.757459 ]
33,160.441,[-0.927477 -0.0404616 0.0720329 -0.817564 -4.92963 -3.77194 -1.03944 0.054639 -4.81346 -1.85255 0.088614 0.0943489 0.0773506 -0.848871 0.0557559 -0.666761 0.06638 0.10728 -0.393048 0.0214667 -5.80225 0.0485655 -1.0773 -2.85362 -0.844051 -1.16809 0.0108337 -0.0365093 -2.7365 -0.615842 ]
34,131.362,[-0.0441098 -0.833548 -3.77709 -0.912678 -0.0901014 -0.0315239 0.162198 -0.448559 -0.260574 0.109856 -1.05511 -0.751281 -0.0114951 -0.266489 0.147404 -0.173549 -5.83043 0.0845454 -0.128101 -0.6829 -0.852216 -0.747577 -4.3467 -1.28519 -0.972944 0.0835491 0.109918 -0.731539 -0.0416005 0.206659 ]
35,136.127,[-0.0408874 0.0792407 -0.426437 0.0320386 -2.82445 -0.769251 -0.815626 -0.798979 -0.0200649 0.13535 -0.784174 -0.200119 0.116458 -3.61592 -0.026892 -0.031194 0.215161 -4.76206 -0.06009 0.171204 -4.9945 0.137301 0.0407567 0.0495991 -1.25755 0.114719 -1.29246 0.20425 -0.0924737 -1.03123 ]
36,162.773,[0.000801802 -2.25405 -0.0718002 -2.74828 -1.04774 -0.682482 -0.154814 -0.0335362 -0.745578 -1.01073 -1.94377 -2.77586 -0.769127 -2.26748 -1.67508 -0.15721 0.179785 -0.115452 -0.570853 -0.00341139 0.071251 -3.89018 -9.11447 -0.775658 -0.0190014 -1.56041 -0.112938 -0.28086 0.0568181 -0.0935277 ]
37,217.452,[-2.14362 -2.85933 -4.8013 -0.814602 -3.05829 -0.790043 -1.80846 -1.18661 0.0111904 -0.891778 -0.728986 -0.119432 -0.429029 0.0253628 -1.70712 -1.37258 0.0548358 -2.69915 0.077894 -0.778316 -19.967 -0.967211 -0.755437 0.0684174 -2.73171 0.176538 -5.22615 -0.917849 -3.19601 0.286156 ]
38,160.2,[-0.0175104 0.175731 0.0740967 -0.913076 -6.75191 -1.16225 0.159055 -1.71184 -3.33866 0.0796467 -0.418459 -0.122839 -0.845529 -1.8431 -0.00237083 0.0873837 -4.80085 0.0683975 -0.765581 0.0369757 0.0395012 0.106873 -4.7439 -2.04206 -0.829783 -0.066515 -0.740312 -0.940604 -1.79012 0.210384 ]
39,119.698,[-0.981255 -0.706064 -0.177056 0.0605416 0.0652771 -1.69962 0.0486444 -1.71703 -0.088646 -0.832618 -1.94337 -0.755305 -1.0684 0.228242 -0.275214 -0.669032 -1.48618 0.0272582 -0.219609 -0.835012 -2.3111 -0.0654575 -0.129877 -0.767574 -0.609951 0.044852 -1.80408 -0.898779 0.0834823 0.219382 ]
