Run#,Result,Solution
28,-39.5678,[-3.22424 -4.36404 -2.2656 -8.08323 -0.664845 -1.95722 -16.9852 -9.18808 -0.59317 -8.98435 1.06502 -0.685385 2.12754 1.07156 -1.7689 -1.06961 -2.26083 -1.59964 -10.1513 7.8411 -17.1513 0.946529 2.18423 -0.941139 -0.938915 0.967587 -3.29433 0.238879 1.34157 -0.115467 ]
29,-39.6105,[-3.91247 -0.701627 -1.67427 -1.69716 -1.66539 1.21544 0.506737 -4.30398 0.652699 5.06603 -3.89828 -5.28529 -7.10791 -10.5978 -1.75753 -11.9976 -7.86912 -0.808486 1.03982 -0.876527 -9.86261 1.65698 -2.22657 -6.62615 -0.622797 -1.21519 0.460565 -16.0532 -11.6231 -3.87153 ]
30,-40.3239,[-0.673093 1.15453 0.480841 -2.3305 -7.74076 -1.17243 -0.643654 -10.7827 -4.20773 -5.59374 -0.194273 -9.64433 1.93155 1.38502 2.20186 -5.30741 -0.965381 -2.59805 -9.31163 3.70409 -12.0392 -0.775761 -2.66755 -3.20073 -0.593123 -1.22082 -5.91712 0.495185 -4.93162 -1.88527 ]
31,-39.8848,[-0.849869 -4.47485 -13.6064 -0.744814 2.66926 0.341427 -1.79802 -3.65549 -6.00679 -1.83097 -1.97869 -8.18029 -0.692884 -4.4123 2.45129 -2.14601 -7.30718 -1.78017 -8.55837 -0.00930858 -8.70842 -5.04041 -17.2606 -5.69749 0.516429 -1.16148 -3.23082 -3.304 1.70458 -3.43873 ]
32,-39.9238,[-1.32513 -0.107229 -11.879 -4.82169 -7.36163 -4.7009 -0.662217 -14.5405 -1.14019 -0.650346 -7.02414 -0.651163 -14.7789 -3.81177 -2.32955 3.65495 -0.0299969 -5.10819 0.0448635 -1.29293 3.88929 -2.61275 -5.30596 1.18139 -6.06035 -0.94331 -3.30118 -1.56054 0.902086 -9.10739 ]
33,-38.5515,[-8.42638 -3.75515 -17.5162 1.83638 -1.97167 -3.15141 1.13365 -8.66548 -6.26651 -12.2201 -5.72059 -9.15676 3.61376 -2.8808 -1.79156 -10.2095 1.8082 1.71478 -3.22307 -7.10212 -8.70045 -3.20271 -15.3284 -3.29732 -0.78721 -5.39809 -4.2277 -5.09115 -4.58509 -2.07912 ]
34,-40.1113,[-2.48523 -5.42563 -11.0729 5.02535 -1.96266 -5.05773 -6.53109 -8.54525 2.27038 -9.59062 -3.43337 -0.895088 2.44328 -1.71242 -8.96722 -6.98334 -0.177317 -4.04597 -1.43952 -4.59969 -3.48535 -1.73801 0.519962 -4.59268 -6.22379 -12.0427 -3.18719 -3.99199 -2.15746 -1.96768 ]
35,-39.9162,[-2.65844 -8.34251 -11.3881 -2.3253 -19.0854 -1.89685 -10.3975 -0.190185 -3.6146 -0.177017 -3.25157 -0.565816 -1.21321 -0.572425 -1.20631 -2.65642 -1.0285 4.036 0.714296 -1.11318 -5.16163 -1.82443 -0.0630035 3.71818 -2.22972 -3.64826 -1.28574 -4.4572 -8.00965 -0.405689 ]
36,-39.1623,[-5.55165 -2.89316 2.60532 3.03565 -1.04109 -3.03383 -6.00703 -1.7145 3.58601 -1.65556 0.776339 -9.54716 -12.6854 -11.4808 -2.61896 -4.79639 -4.94018 -0.968949 -10.6094 -15.5964 -1.12415 -1.93935 -2.83206 -4.42887 1.93897 -13.0734 -0.202563 -1.32786 -0.278938 -17.8063 ]
37,-38.4123,[1.31727 2.86762 2.09251 -8.18456 2.5866 -0.285526 -4.22182 -4.4494 -4.05426 -20.2674 2.26065 -1.07165 -4.00237 -4.52546 -26.3623 -4.51819 -2.24988 -2.35631 -3.2938 -3.5768 2.00016 -1.49408 -13.3383 -10.7691 -9.12416 -5.93082 -6.75191 2.91789 -0.00628644 -6.027 ]
