Run#,Result,Solution
34,-10553.5,[325.723 409.162 330.229 -439.212 -429.197 -417.771 -395.616 -366.642 -319.439 227.993 282.516 -352.461 -296.384 491.135 285.635 -252.679 -420.565 -500 -500 -135.401 -397.722 -487.685 -402.377 -173.163 440.234 -500 309.729 -411.947 -497.075 397.049 ]
35,-9678.54,[-412.764 353.526 425.326 -402.347 -380.222 -411.943 148.33 466.312 175.822 345.677 -340.606 -272.502 -259.032 196.242 -403.979 491.744 -445.2 -313.65 494.782 -493.156 -383.399 336.802 -461.338 447.065 -127.763 -378.625 430.289 356.606 181.142 -308.385 ]
36,-11158.9,[-292.547 482.052 223.497 -439.952 -451.244 -322.723 227.231 476.488 -240.389 237.025 473.873 -439.775 -291.7 475.345 -444.198 -455.118 -445.846 -435.437 -418.168 -435.393 -448.966 -438.593 445.661 387.133 -305.819 327.574 -470.591 381.358 -402.787 404.897 ]
37,-10913.4,[-329.827 230.481 486.399 -492.105 -388.579 460.358 145.652 454.832 482.317 266.34 195.007 359.233 -370.303 -400.839 -368.794 -472.535 487.18 -446.458 -457.055 379.243 372.335 255.673 -174.397 465.873 -432.282 -448.357 -440.439 -452.115 -326.976 358.366 ]
38,-11495.4,[-487.61 -484.742 -481.263 -485.157 -483.393 398.776 -431.052 -445.799 -432.798 -500 -500 -442.156 -450.744 -458.837 -324.71 355.687 224.679 473.62 191.408 -419.652 424.006 346.83 -500 -500 -500 470.61 172.354 -299.209 479.374 171.571 ]
39,-10461.1,[-477.707 497.039 281.807 485.813 453.44 404.277 -433.389 369.918 360.971 -295.439 488.945 261.837 369.124 236.693 280.835 213.515 -399.271 477.429 193.225 359.655 -368.502 -316.537 341.445 -194.995 103.549 -500 -500 -500 -424.371 160.786 ]
40,-10789.9,[-449.037 -459.075 -451.301 -441.585 270.773 209.583 -406.887 -492.925 -403.287 348.767 499.775 -445.455 429.172 -466.494 276.314 386.226 293.568 -369.725 430.013 364.918 -300.091 -189.864 -413.754 -500 479.314 -484.78 399.725 315.634 404.62 450.704 ]
41,-11269.5,[-30.2955 -380.569 -473.911 490.265 456.227 408.588 335.202 -495.742 -412.418 -391.378 343.778 -470.131 388.734 438.934 -108.922 222.631 -430.093 -500 -499.078 -422.411 -216.693 -412.423 -499.365 299.767 327.163 -444.038 450.851 -500 -500 -500 ]
42,-10768.9,[-497.216 -500 -500 -110.574 233.782 228.269 475.338 188.812 457.229 484.731 292.603 -363.653 250.979 497.129 472.815 -227.442 -313.555 -176.641 -406.17 147.337 457.924 -424.926 -441.955 -455.609 -467.109 384.91 -406.616 -492.774 -408.044 147.644 ]
43,-10384.2,[-37.4216 436.719 -500 -429.523 -219.258 -167.345 469.601 -235.057 -415.641 -205.812 101.372 448.381 -218.705 108.152 462.491 -224.137 222.132 479.241 447.459 396.536 445.08 -446.561 277.346 229.952 287.529 -365.836 -398.608 -496.645 403.871 449.505 ]
44,-10027.1,[418.223 345.834 159.171 -282.813 120.619 451.072 406.241 -443.773 451.456 137.771 468.371 212.766 -423.816 -500 -429.221 277.174 -337.322 -447.838 435.552 468.479 -110.864 -137.772 329.533 -447.485 374.849 248.23 -158.932 -389.046 456.906 -421.355 ]
45,-10790.9,[331.143 -455.455 375.651 -302.08 223.108 463.93 -426.753 174.878 -312.32 334.654 -467.188 292.059 389.415 -413.837 -500 -500 -500 -422.993 259.742 158.724 -233.862 -326.672 -466.827 -473.478 -375.131 438.616 384.419 439.036 474.873 -239.615 ]
46,-10916,[374.9 251.258 494.162 472.978 -439.787 -430.689 -417.657 355.647 -493.788 398.168 448.325 480.689 -484.924 462.89 -114.721 -396.695 -102.423 70.5257 224.186 -434.276 -447.199 -457.887 -452.093 269.917 499.569 337.147 -469.636 -464.644 380.834 -403.598 ]
47,-10331.4,[100.516 -421.089 270.175 -318.991 341.931 -462.911 448.776 -500 -126.059 -405.182 407.541 -446.777 -457.777 -450.215 458.579 -108.614 229.956 471.248 187.053 164.367 -167.279 -402.07 486.167 248.681 478.158 -120.442 -392.506 -483.78 -383.573 340.247 ]
48,-10633.9,[-471.713 -476.636 -367.916 333.017 -478.864 389.508 393.578 -433.927 -298.868 -169.527 447.977 393.512 -306.127 -170.672 451.164 399.227 -305.985 326.713 -439.994 429.161 461.972 493.186 466.327 158.43 452.649 405.54 -316.973 214.289 474.085 439.734 ]
49,-11155.5,[94.1123 459.089 416.894 -452.886 -445.198 -436.128 261.13 180.865 343.111 421.706 -399.56 401.737 -320.434 233.246 483.992 257.911 486.63 -445.129 -435.809 425.762 360.965 367.715 -356.096 -461.44 474.398 -228.556 111.264 458.396 485.7 454.717 ]
50,-10678.2,[-415.777 -500 472.23 155.2 81.0876 458.49 489.155 -488.59 -493.137 -497.664 36.6873 81.7305 331.02 -477.916 394.848 -313.104 -363.178 -473.89 -374.425 441.562 380.359 -400.958 -140.509 344.813 149.626 332.854 -455.955 469.736 -430.696 265.907 ]
